"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"DEMONOLOGIA","291.13291.216","fflch","","Assunto","","",""
"DEMÓSTENES, orador e político ateniense (384-322 a.C.)","885.6","fflch","","Autor","","",""
"Denis the Carthusian  VER Dionysius Carthusianus","","2508542","","","","",""
"DENSIDADE DEMOGRÁFICA","304.61","fflch","","Assunto","","",""
"Denys le Chartreux  ver  Dionysius Carthusianus","","2508542","","","","",""
"Denys van Leeuwen  VER  Dionysius Carthusianus","","2508542","","","","",""
"DEPENDÊNCIA ECONÔMICA","338.91","fflch","","Assunto","","",""
"DEPOSIÇÃO DE SEDIMENTOS","551.303","fflch","","Assunto","","",""
"DEPÓSITO DE COMBUSTÍVEL FÓSSIL","553.2","fflch","","Assunto","","",""
"DEPÓSITO GLACIAL","551.314","fflch","","Assunto","","",""
"DEPÓSITOS MINERAIS","553.1","fflch","","Assunto","","",""
"DEPRESSÕES","551.44","fflch","","Assunto","","",""
"DERRIDA, Jacques","194 D438","fflch","","Autor","","",""
"DESAFIOS (Música folclórica)","398.357 (*)","fflch","","Assunto","","",""
"Desastre ambiental v. DESASTRE ECOLÓGICO","","fflch","","Assunto","","",""
"DESCARTES, René, filósofo e matemático francês (1596-1650)","194.1 D445","fflch","","Autor","","",""
"DESCOBERTAS E EXPLORAÇÕES","910.9","fflch","","Assunto","","",""
"DESENHISTAS","741.092","bib","","Assunto","","",""
"DESENHO ARTÍSTICO","741.092","bib","","Assunto","","",""
"DESENHO URBANO","307.1","fflch","","Assunto","","",""
"DESENVOLVIMENTO ECONÔMICO","338.018 338.9 (*)","fflch","","Assunto","","",""
"DESENVOLVIMENTO NÁUTICO","910.9","fflch","","Assunto","","",""
"DESENVOLVIMENTO REGIONAL","910.021","fflch","","Assunto","","",""
"DESENVOLVIMENTO SUSTENTÁVEL","333.715","","","Assunto","","",""
"DESENVOLVIMENTO URBANO","307.14","fflch","","Assunto","","",""
"Deserto da Síria","915.38","fflch","","Assunto","","",""
"Deserto do Saara","916.6","fflch","","Assunto","","",""
"DESERTOS","735.2551.415 (*)","fflch","","Assunto","","",""
"DESESMPREGO E SUB-EMPREGO","331.137331.13 (*)","fflch","","Assunto","","",""
"DESFAVELAMENTO","307.344","fflch","","Assunto","","",""
"DESFILES (Comemorações)","394.2","fflch","","Assunto","","",""
"DESLIZAMENTO DE TERRA","551.307","fflch","","Assunto","","",""
"DESMATAMENTO","333.75137","","","Assunto","","",""
"DESOBEDIÊNCIA CIVIL","303.61","fflch","","Assunto","","",""
"DESORDEM CIVIL","303.62","fflch","","Assunto","","",""
"DESPOTISMO","321.6","fflch","","Assunto","","",""
"DESTUTT DE TRACY (Antoine-Louis-Claude Destutt, conde de Tracy) (1754-1836)","145 D477","","","Autor","","",""
"DETERMINISMO (Filosofia)","123","fflch","","Assunto","","",""
"DEUS","211231 (na teologia cristã)","fflch","","Assunto","","",""
"Deutsches Jahrbuch Philosophie","193 D486 v.","2508542","","","","",""
"DEWEY, John, filósofo e pedagogo norte-americano (1859-1952)","191.9","fflch","","Autor","","",""
"DI LUCRÉCIO ver LUCRECIO CARO, Tito","","","","Autor","","",""
"Diabo v. DEMÔNIO","","fflch","","Assunto","","",""
"DIALÉTICA (Teoria Literária)","146.32","fflch","","Assunto","","",""
"DIALÉTICA MARXISTA","335.4","fflch","","Assunto","","",""
"DIALETOS DE PORTUGAL","469.72","","","","","",""
"DIÁLOGO RELIGIOSO","291.172","fflch","","Assunto","","",""
"DIAS, TEOFILO. 1854-1889","869.9149","","","","","",""
"DIÁSPORA (Oriente, 1º milênio d.C./ Ocidente, séc. XV)","909.041","fflch","","Assunto","","",""
"DIDEROT, Denis, escritor, filósofo, dramaturgo, crítica de arte francês (1713-1784)","194.5 D555","fflch","","Autor","","",""
"Die Deutsche Literatur vom Mittelalter bis zum 20. Jahrhundert","830.8 D559 v.","","","Coleção","","",""
"Dilthey, Wilhelm","193.5","","1833-1911","Autor","","",""
"Dinamarca","914.89","fflch","","Assunto","","",""
"DINÂMICA SEDIMENTAR","551.307","fflch","","Assunto","","",""
"DINIS, JULIO.","869.361","","","","","",""
"Dionisio Cartujano   VER Dionysius Carthusianus","","2508542","","","","",""
"Dionísio, o Aeropagita, Pseudo-Dionísio","189.5 P974","2508542","","","","",""
"Dionysius Carthusianus (1402-1471)","189.5 D395","2508542","","","","",""
"Dioscorides v. PEDANIUS DIOSCORIDES","","","","Autor","","",""
"DIPLOMACIA","327.2","fflch","","Assunto","","",""
"DIPLOMATAS","327.2","fflch","","Assunto","","",""
"DIREITO","340","fflch","","Assunto","","",""
"DIREITO (Filosofia e teoria)","340.1","fflch","","Assunto","","",""
"DIREITO (História)","340.9","fflch","","Assunto","","",""
"DIREITO AMBIENTAL","344.046","","","Assunto","","",""
"DIREITO ANTIGO","340.53","fflch","","Assunto","","",""
"DIREITO AO VOTO","324.62","fflch","","Assunto","","",""
"DIREITO CANÔNICO","262.9","","","Assunto","","",""
"DIREITO CIVIL","346","fflch","","Assunto","","",""
"DIREITO CONSTITUCIONAL","342","fflch","","Assunto","","",""
"DIREITO DAS OBRIGAÇÕES","344.01","fflch","","Assunto","","",""
"DIREITO DE FAMÍLIA","346.015","","","Assunto","","",""
"DIREITO DE GUERRA","341.6","","","Assunto","","",""
"Direito do consumidor v. DEFESA DO CONSUMIDOR","","fflch","","Assunto","","",""
"DIREITO INDÍGENA","342.0872","","","Assunto","","",""
"DIREITO INTERNACIONAL","341","fflch","","Assunto","","",""
"DIREITO JUDICIAL","340.9","fflch","","Assunto","","",""
"DIREITO MARÍTIMO","340.9","fflch","","Assunto","","",""
"DIREITO NATURAL","340.112","fflch","","Assunto","","",""
"DIREITO PENAL","345","fflch","","Assunto","","",""
"DIREITO PROCESSUAL CIVIL","347","fflch","","Assunto","","",""
"DIREITO PÚBLICO","344.06","fflch","","Assunto","","",""
"DIREITO ROMANO","340.54","","","Assunto","","",""
"DIREITO ROMANO MEDIEVAL","340.55","","","Assunto","","",""
"DIREITOS HUMANOS","323.4","fflch","","Assunto","","",""
"DIREITOS POLÍTICOS","323.5","fflch","","Assunto","","",""
"DISCRIMINAÇÃO (Aspectos Sociais0","303.385","bib","","Assunto","","",""
"DISCRIMINAÇÃO RACIAL","301.451305.8 (*)","fflch","","Assunto","","",""
"DISCURSO TEÓRICO (Apologética e Teologia)","871.6","fflch","","Assunto","","",""
"DISCURSO TEÓRICO (Filosofia)","871.4","fflch","","Assunto","","",""
"DISCURSO TEÓRICO (Política)","871.5","fflch","","Assunto","","",""
"DISTRIBUIÇÃO DE ÁGUA (SISTEMAS)","628.144","","","Assunto","","",""
"DISTRIBUIÇÃO DE RENDA","339.2","fflch","","Assunto","","",""
"Distrito Federal","918.174","","","Assunto","","",""
"DITADOR","321.64","fflch","","Assunto","","",""
"DITADURA","321.9 *321.64","fflch","","Assunto","","",""
"DITADURA DO PROLETARIADO","321.92","fflch","","Assunto","","",""
"Ditos populares v. PROVÉRBIOS","","fflch","","Assunto","","",""
"DIVERSIDADE CULTURAL","306","fflch","","Assunto","","",""
"Djibouti","915.771","fflch","","Assunto","","",""
"DOGMA (DOUTRINA)","291.2","fflch","","Assunto","","",""
"DOGMATISMO (Filosofia)","148","fflch","","Assunto","","",""
"Dominica","917.29841","fflch","","Assunto","","",""
"DOMINICANOS","255.2271.2   -  na história da igreja","fflch","","Assunto","","",""
"Doroteu de Gaza (505-565/620)","189 D715","","Abba Doroteu - Doroteu, o Eremita - Dorotheus of Gaza","","","",""
"Dostoievski, Fiodor Mikhailovitch (1821-1881)","891.73 D762","2508542","* Para romances e contos","","","",""
"Dostoievski, Fiodor Mikhailovitch (1821-1881) em Crime e castigo = Prestuplenie i Nakazanie","891.73 D762pr(+mais a letra da tradução, quando houver)","2508542","","","","",""
"Doutrina política v. IDEOLOGIA POLÍTICA","","fflch","","Assunto","","",""
"Doutrinas filosóficas v. ESCOLAS FILOSÓFICAS","","fflch","","Assunto","","",""
"DOUTRINAS RELIGIOSAS","210291.2","fflch","","Assunto","","",""
"Drogas (Tráfico) v. TRÁFICO DE DROGAS","","fflch","","Assunto","","",""
"Drogas (Uso de) v. USO DE DROGAS","","fflch","","Assunto","","",""
"DUALISMO (Religião)","211.33","fflch","","Assunto","","",""
"DUMPING","382.7","fflch","","Assunto","","",""
"DUNS SCOTUS, Johannes 1265-1308","189.4D926","","","Autor","","",""
"EÇA DE QUEIROS, JOSE MARIA DE. 1845-1900","869.364","","","","","",""
"ECKHART","189.5","fflch","","Autor","","",""
"ECKHART, JOHANNES (c.a. 1260-1327)","189.5","","","Autor","","",""
"ECKHART, MEISTER (d. 1327)","189.5","","","Autor","","",""
"ECLESIASTE","223.8","fflch","","Assunto","","",""
"ECOFISIOLOGIA","571.77","fflch","","Assunto","","",""
"ECOLOGIA","615.01577*","fflch","","Assunto","","",""
"ECOLOGIA AGRÍCOLA","577.55","fflch","","Assunto","","",""
"ECOLOGIA APLICADA (*) (Obs.: colocar no assunto onde a Ecologia é aplicada)","","fflch","","Assunto","","",""
"ECOLOGIA AQUÁTICA","577.6","fflch","","Assunto","","",""
"ECOLOGIA DA POLUIÇÃO","577.27","fflch","","Assunto","","",""
"ECOLOGIA DE ARBUSTOS","577.38","fflch","","Assunto","","",""
"ECOLOGIA DE CAMPO","615.04 577.4 (*)","fflch","","Assunto","","",""
"ECOLOGIA DE CERCAS-VIVAS","577.4","fflch","","Assunto","","",""
"ECOLOGIA DE CERRADO","615.15577.4 (*)","fflch","","Assunto","","",""
"ECOLOGIA DE FOGO","577.2","fflch","","Assunto","","",""
"ECOLOGIA DE FUNGOS","579.17","fflch","","Assunto","","",""
"ECOLOGIA DE LHANOS","577.4","fflch","","Assunto","","",""
"ECOLOGIA DE PASTAGENS","577.4","fflch","","Assunto","","",""
"ECOLOGIA DE PRADOS","577.4","fflch","","Assunto","","",""
"ECOLOGIA DE RELVAS","577.4","fflch","","Assunto","","",""
"ECOLOGIA DE VETORES","571.986","fflch","","Assunto","","",""
"ECOLOGIA DOS MICRO-ORGANISMOS","579.17","fflch","","Assunto","","",""
"ECOLOGIA ENERGÉTICA","577.13","fflch","","Assunto","","",""
"ECOLOGIA EVOLUTIVA","577.3","","","Assunto","","",""
"ECOLOGIA FLORESTAL","577.3","fflch","","Assunto","","",""
"ECOLOGIA HUMANA (FFI / FFG)","301.3 / 304.2 (*)","fflch","","","","",""
"ECOLOGIA MICROBIANA","579.1","fflch","","Assunto","","",""
"ECOLOGIA MOLECULAR","579.1","fflch","","Assunto","","",""
"ECOLOGIA PARASITÁRIA","577.857","fflch","","Assunto","","",""
"Ecologia urbana v. MEIO AMBIENTE URBANO","","fflch","","Assunto","","",""
"ECONOMETRIA","330.18330.015195 (*)","fflch","","Assunto","","",""
"ECONOMIA","330","fflch","","Assunto","","",""
"Economia (Globalização) v. GLOBALIZAÇÃO (Aspectos econômicos)","","fflch","","Assunto","","",""
"ECONOMIA (História)","330.9","fflch","","Assunto","","",""
"ECONOMIA (Idade Média)","330.902","fflch","","Assunto","","",""
"ECONOMIA (Teoria)","330.1","fflch","","Assunto","","",""
"ECONOMIA AGRÁRIA","333","fflch","","Assunto","","",""
"ECONOMIA DO TURISMO","338.4791","fflch","","Assunto","","",""
"ECONOMIA INTERNACIONAL","382.1337 (*)","fflch","","Assunto","","",""
"ECONOMIA KEYNESIANA","330.156","fflch","","Assunto","","",""
"ECONOMIA POLÍTICA","330.1","fflch","","Assunto","","",""
"ECONOMIA POLÍTICA (História)","330.109","fflch","","Assunto","","",""
"ECONOMIA PRIMITIVA","301.2 301.204 (*)","fflch","","Assunto","","",""
"ECONOMIA REGIONAL","330.9","fflch","","Assunto","","",""
"ECONOMIA SOCIALISTA","335.4","fflch","","Assunto","","",""
"ECONOMISTAS (Coleção)","330/E19","fflch","","Coleção","","",""
"ECOSSISTEMAS","577","fflch","","Assunto","","",""
"ECUMENISMO","244 (15ª)262.0011 (*)","fflch","","Assunto","","",""
"EDAFOLOGIA","631.4","fflch","","Assunto","","",""
"EDGARD ALLAN POE (1809-1849)","813 P798","bib","","Autor","","",""
"EDITORAÇÃO","686","fflch","","Assunto","","",""
"EDITORAÇÃO","801.02","","","","","",""
"EDIZIONE NAZIOLNALE DEI TESTI MEDIOLATINI","189 E23 v.","","","Coleção","","",""
"EDUCAÇÃO","370","fflch","","Assunto","","",""
"EDUCAÇÃO (Bibliografia)","016.370","fflch","","Assunto","","",""
"EDUCAÇÃO (Custos)","379.12","fflch","","Assunto","","",""
"Educação (Filosofia) v. FILOSOFIA DA EDUCAÇÃO","","fflch","","Assunto","","",""
"EDUCAÇÃO (História)","370.9","fflch","","Assunto","","",""
"EDUCAÇÃO (Metodologia)","370.018","fflch","","Assunto","","",""
"EDUCAÇÃO (Teoria)","370.1","fflch","","Assunto","","",""
"EDUCAÇÃO A DISTÂNCIA","371.35","2434637","","Assunto","","",""
"EDUCAÇÃO AMBIENTAL","372.357","fflch","","Assunto","","",""
"EDUCAÇÃO AMBIENTAL (Ensino fundamental)","372.357","fflch","","Assunto","","",""
"EDUCAÇÃO AMBIENTAL (Ensino geral)","370.115","fflch","","Assunto","","",""
"EDUCAÇÃO BILÍNGUE","371.97","fflch","","Assunto","","",""
"EDUCAÇÃO DE ADULTOS","374","fflch","","Assunto","","",""
"EDUCAÇÃO DE SURDOS","371.912","7096021","","Assunto","Não enviado","Não normalizado",""
"EDUCAÇÃO ESPECIAL","371.9","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"EDUCAÇÃO INDÍGENA","371.829 (09 + país)","fflch","","Assunto","","",""
"EDUCAÇÃO INFANTIL","372.21","bib","","Assunto","","",""
"EDUCAÇÃO PERMANENTE","370.193","fflch","","Assunto","","",""
"EDUCAÇÃO RURAL","379.173 370.91734 (*)","fflch","","Assunto","","",""
"EFEITO ESTUFA","551.5253","fflch","","Assunto","","",""
"Egídio Romano, Arcebispo de Bourges, ca. 1243-1316","189.4 E29","2508542","","","","","Giles of Rome"
"Egito","916.2","fflch","","Assunto","","",""
"Eire (República da Irlanda)","914.17","fflch","","Assunto","","",""
"EIRO, PAULO","869.9239","","","","","",""
"El Salvador","917.284","fflch","","Assunto","","",""
"EL SALVADOR (HISTÓRIA)","972.84","7096021","","Assunto","","Normalizado",""
"ELEATISMO","182.3","fflch","","Assunto","","",""
"ELEIÇÕES (Processo político)","324324.6 (*)","fflch","","Assunto","","",""
"ELEIÇÕES DIRETAS","324.63","fflch","","Assunto","","",""
"ELEIÇÕES INDIRETAS","324.63","fflch","","Assunto","","",""
"ELEIÇÕES POR ACLAMAÇÃO","324.63","fflch","","Assunto","","",""
"ELEIÇÕES POR SUFRÁGIO","324.62","fflch","","Assunto","","",""
"ELEITORADO","324.6","fflch","","Assunto","","",""
"ELEVAÇÃO","551.43","","","Assunto","","",""
"ELEVAÇÃO CONTINENTAL","551.43","fflch","","Assunto","","",""
"ELEVAÇÕES E DECLIVES","551.43","fflch","","Assunto","","",""
"Elfrike, Abbot of Eynsham v. AELFRIC, Abade de Eynsham","","","","Autor","","",""
"ELIAS NORBERT","301.2","fflch","","Autor","","",""
"ELITE","305.52","fflch","","Assunto","","",""
"EMBALSAMAMENTO","393.3","fflch","","Assunto","","",""
"EMÉRITOS (Coleção)","378 / E45 / v.","fflch","","Coleção","","",""
"EMIGRAÇÃO","325.2","fflch","","Assunto","","",""
"Emirados Árabes Unidos","915.357","fflch","","Assunto","","",""
"EMOÇÃO","152.4","fflch","","Assunto","","",""
"EMPEDÓCLES, filósofo grego pré-socrático (483-430 a.C.) (FFT/FFI)","888.01 182.5 (*)","fflch","","Autor","","",""
"EMPIRISMO","146.44","fflch","","Assunto","","",""
"EMPRESÁRIOS","338.04","fflch","","Assunto","","",""
"EMPRESAS","338.7","fflch","","Assunto","","",""
"EMPRESAS ESTRANGEIRAS","338.88","fflch","","Assunto","","",""
"EMPRESAS MULTINACIONAIS","338.88","fflch","","Assunto","","",""
"EMPRESAS PRIVADAS","338.61","fflch","","Assunto","","",""
"EMPRESAS PÚBLICAS","338.62","fflch","","Assunto","","",""
"ENCANTO RADICAL (Coleção)","320.1 / E56","fflch","","Assunto","","",""
"ENCHENTES","551.488","fflch","","Assunto","","",""
"ENCÍCLICAS","262.91262.82 (F)","fflch","","Assunto","","",""
"ENERGIA","333.79","fflch","","Assunto","","",""
"ENGELS, Friedrich, teórico socialista alemão (1820-1895)","193.91","fflch","","Autor","","",""
"Engenharia (História)","620.009","7096021","","Assunto","","Normalizado",""
"ÊNIO, poeta latino (239-169 a.C.)","872.4 E49","fflch","","Autor","","",""
"Ennius v. Ênio","","","VER ÊNIO","Autor","","",""
"ENSAIO ÁRABE","892.74","fflch","","Assunto","","",""
"ENSAIO ARGENTINO","868.994","7096021","","Assunto","","",""
"ENSAIO ARMÊNIO","891.9924","fflch","","Assunto","","",""
"ENSAIO BRASILEIRO","869.945ENSAIO LITERÁRIO (BRASIL)","","","","","","ENSAIO BRASILEIRO"
"ENSAIO CHINÊS","895.14","fflch","","Assunto","","",""
"ENSAIO COREANO","895.74","fflch","","Assunto","","",""
"ENSAIO HEBRAICO","892.44","fflch","","Assunto","","",""
"ENSAIO JAPONÊS","895.64","fflch","","Assunto","","",""
"ENSAIO ROMENO","859.4","fflch","","Assunto","","",""
"ENSAIO RUSSO","891.74","fflch","","Assunto","","",""
"ENSAIOS - TEORIA","801.954","","","","","",""
"ENSAIOS ALEMÃES","834","","","","","",""
"ENSAIOS ARABES","892.73","","","","","",""
"ENSAIOS ESPANHOIS","864","","","","","",""
"ENSAIOS FRANCESES","844","","","","","",""
"ENSAIOS HEBRAICOS","892.44","","","","","",""
"ENSAIOS HISPANO-AMERICANOS","868.994","","","","","",""
"ENSAIOS INGLESES","824","","","","","",""
"ENSAIOS ITALIANOS","854","","","","","",""
"ENSAIOS LINGUÍSTICOS (Coleção)","498 / E52 / v.","fflch","","Coleção","","",""
"ENSAIOS NORTE-AMERICANOS","814","","","","","",""
"ENSAIOS PORTUGUESES","869.4","","","","","",""
"ENSAIOS RUSSOS","891.74","","","","","",""
"ENSINO A DISTÂNCIA VER EDUCAÇÃO A DISTÂNCIA","","2434637","","Assunto","","",""
"ENSINO A DISTÂNCIA VER EDUCAÇÃO A DISTÂNCIA","","2434637","","Assunto","","",""
"Ensino a distância ver Educação a distância","","2434637","","Assunto","","",""
"Ensino a distância ver Educação a distância","","2434637","","Assunto","","",""
"ENSINO E APRENDIZAGEM","371","fflch","","Assunto","","",""
"ENSINO FUNDAMENTAL","372","bib","","Assunto","","",""
"ENSINO INDIVIDUALIZADO","371.394","fflch","","Assunto","","",""
"ENSINO INDUSTRIAL","371.426","fflch","","Assunto","","",""
"ENSINO PROFISSIONALIZANTE","371.426","fflch","","Assunto","","",""
"ENSINO SECUNDÁRIO","373","fflch","","Assunto","","",""
"ENSINO SUPERIOR","378","fflch","","Assunto","","",""
"ENTIDADES RELIGIOSAS","235","fflch","","Assunto","","",""
"ENTRETIENS SUR L'ANTIQUITÉ CLASSIQUE","880 F738 v.","","","Coleção","","",""
"EPICARMO, poeta cômico grego (525-450 a.C.)","882.5","fflch","","Autor","","",""
"EPICURISMO (FFT / FFI)","888.01187 (*)","fflch","","Assunto","","",""
"EPICURO, filósofo grego (341-270 a.C.) (FFT/FFI)","888.01187 (*)","fflch","","Autor","","",""
"EPIGRAMAS, SÁTICA E HUMOR LATINOS","877","fflch","","Assunto","","",""
"EPISTEMOLOGIA (FFG / FFI)","121","fflch","","Assunto","","","Teoria do conhecimento"
"EPÍSTOLAS (Bíblia)","227","fflch","","Assunto","","",""
"Epistolografia","869.96","","","Assunto","","",""
"Epistolografia - Período de desenvolvimento (1750-1830)","869.962","","","Assunto","","",""
"Epistolografia - Período de formação (1500-1750)","869.961","","","Assunto","","",""
"Epistolografia - Período de reação  (1870-   )","869.964","","","Assunto","","",""
"Epistolografia - Período romântico (1830-1870)","869.963","","","Assunto","","",""
"Equador","918.66","fflch","","Assunto","","",""
"ERIGENA, Johannes Scotus ca. 810- ca. 877","189E68","","","Autor","","",""
"Eritréia","916.35","fflch","","Assunto","","",""
"ERNST JÜNGER (Escritor alemão)","834","fflch","","Autor","","",""
"EROSÃO","551.302631.45 (na produção)","fflch","","Assunto","","",""
"ESCALAS (CARTOGRAFIA)","461526.0221 (*)","fflch","","Assunto","","",""
"Escandinávia","914.8","fflch","","Assunto","","",""
"Escócia","914.11","fflch","","Assunto","","",""
"Escola de Eléa v. ELEATISMO","","fflch","","Assunto","","",""
"ESCOLA DE FRANKFURT","193","fflch","","Assunto","","",""
"ESCOLA DE SAMBA","394.25","fflch","","Assunto","","",""
"ESCOLAS FILOSÓFICAS","140","fflch","","Assunto","","",""
"Escolástica v. FILOSOFIA ESCOLÁSTICA","","fflch","","Assunto","","",""
"ESCRAVIDÃO","326","fflch","colocar nº do país ___.09__","Assunto","","",""
"ESCRAVOS","326","fflch","","Assunto","","",""
"ESCRITA","411","","","","","",""
"ESCRITA (HISTÓRIA)","411","7096021","","Assunto","","Normalizado",""
"ESCRITOS RABÍNICOS","296.17","fflch","","Assunto","","",""
"ESCULTURA","730","7096021","","Assunto","Enviado para SIBI","Normalizado",""
"ESCULTURA MODERNA - SÉCULO 21","735.24","7096021","","Assunto","Não enviado","Não normalizado",""
"Eslováquia","914.373","fflch","","Assunto","","",""
"Eslovênia","914.973","fflch","","Assunto","","",""
"ESOPO, fabulista grego (séc. VI a.C.)","888.6","fflch","","Autor","","",""
"ESOTERISMO","135.4","fflch","","Assunto","","",""
"Espaço","919","","","Assunto","","",""
"ESPAÇO (Filosofia)","114","fflch","","Assunto","","",""
"ESPAÇO GEOGRÁFICO","304.23","fflch","","Assunto","","",""
"ESPAÇO TURÍSTICO","338.9741","fflch","","Assunto","","",""
"ESPAÇO URBANO","307.76","fflch","","Assunto","","",""
"ESPAÑA SAGRADA","230.0946 E77 v.---","","","Coleção","","",""
"ESPAÑA SAGRADA","230.0946 E77 v.---","","","","","",""
"Espanha","914.6","fflch","","Assunto","","",""
"ESPANHOL - ALFABETO","460","","","","","",""
"ESPANHOL - DIALETOS","467.1","","","","","",""
"ESPANHOL - ESTILISTICA","808.046","","","","","",""
"ESPANHOL - ESTUDO E ENSINO","460.7","","","","","",""
"ESPANHOL - ETIMOLOGIA","462","","","Assunto","","Normalizado",""
"ESPANHOL - FONOLOGIA","460","","","","","",""
"ESPANHOL - GRAMÁTICA","465","","","","","",""
"ESPANHOL - INFLUÊNCIA GUARANI","467.98","","","","","",""
"ESPANHOL - LÍNGUA","460","","","","","",""
"ESPANHOL - REDAÇÃO","808.046","","","","","",""
"ESPANHOL - VERSIFICAÇÃO","808.046","","","","","",""
"ESPANHOL PARA ESTRANGEIROS","468","","","","","",""
"ESPELEOLOGIA","551.447","fflch","","Assunto","","",""
"ESPERANTO (Língua)","499.992","","","Assunto","","",""
"ESPERANTO (Literatura)","899.992","","","Assunto","","",""
"ESPINOZA, Baruch de, filósofo holandês (1632-1677)","199.492 E77","fflch","","Autor","","",""
"ESPIONAGEM","327.12","fflch","","Assunto","","",""
"ESPIRITISMO","264.4291.21 (*)","fflch","","Assunto","","",""
"Espírito Santo","918.152","","","Assunto","","",""
"ÉSQUILO, poeta trágico grego (52-456 a.C.)","882.1","fflch","","Autor","","",""
"ÉSQUINES, orador ateniense (390-314 a.C.)","885.5","fflch","","Autor","","",""
"ESSÊNCIA (Filosofia)","111.1","fflch","","Assunto","","",""
"Essencial (Série Essencial) - Academia Brasileira de Letras / Imprensa Oficial de SP","869.909 E82 v.","","","Coleção","Não enviado","Não normalizado",""
"ESTÁCIO, PÚBLIO PAPÍNIO, poeta latino (45-96 a.C.)","873.5","fflch","","Autor","","",""
"ESTAÇÕES METEREOLÓGICAS","","fflch","","Assunto","","",""
"ESTADO (Filosofia)","321.01","fflch","","Assunto","","",""
"ESTADO (Política)","321320.1","fflch","","Assunto","","",""
"ESTADO (Teoria)","321.01320.011","fflch","","Assunto","","",""
"ESTADO E CLASSES SOCIAIS","323.3","fflch","","Assunto","","",""
"ESTADO MÍNIMO","321","fflch","","Assunto","","",""
"ESTADO MODERNO","321","fflch","","Assunto","","",""
"ESTADO NOVO (Brasil)","320.981","fflch","","Assunto","","",""
"Estado totalitário v. SISTEMA PARTIDO ÚNICO","","fflch","","Assunto","","",""
"Estados Unidos","917.3","fflch","","Assunto","","",""
"ESTALINISMO","320.5322","fflch","","Assunto","","",""
"ESTATÍSTICA","311310 (*)","fflch","","Assunto","","",""
"ESTEPES","551.453","fflch","","Assunto","","",""
"Estereofotogrametria v. FOTOGRAMETRIA","","fflch","","Assunto","","",""
"ESTÉTICA (Arte)","701.17","fflch","","Assunto","","",""
"ESTÉTICA (Filosofia)","111.85","fflch","","Assunto","","",""
"ESTETICA - TEORIA","701.17","","","","","",""
"ESTETICA LITERARIA","801.93","","","","","",""
"Estiagem v. SECA","","fflch","","Assunto","","",""
"ESTILISTICA","801.2","","","","","",""
"ESTOICISMO (FFT / FFI)","188","fflch","","Assunto","","",""
"Estônia","914.798","fflch","","Assunto","","",""
"ESTÓRIAS (Folclore)","398.2","fflch","","Assunto","","",""
"ESTRADA, LUIS DE G. D.","869.9349","","","","","",""
"ESTRATÉGIA MILITAR","355.43","fflch","","Assunto","","",""
"ESTRATÉGIA POLÍTICA (Eleições)","324.72","fflch","","Assunto","","",""
"ESTRATIFICAÇÃO SOCIAL","301.44305.5 (*)","fflch","","Assunto","","",""
"ESTRATIGRAFIA","551.7","fflch","","Assunto","","",""
"Estreito da Flórida","910.0216363","","","Assunto","","",""
"Estreito de Bering","910.0216451","","","Assunto","","",""
"Estreito de Gibraltar","910.0216381","","","Assunto","","",""
"ESTRUTURA DA TERRA","551.1","fflch","","Assunto","","",""
"ESTRUTURA SOCIAL","301.24","fflch","","Assunto","","",""
"ESTRUTURALISMO","149.96","fflch","","Assunto","","",""
"ESTUÁRIOS","551.4609","fflch","","Assunto","","",""
"ESTUDIOS DE HISTORIA","946 E82 v.","","","Coleção","","",""
"ESTUPRO (Aspectos sociais)","364.1532","","","Assunto","","",""
"ÉTICA","170","fflch","","Assunto","","",""
"ÉTICA CRISTÃ","241","fflch","","","","",""
"ÉTICA FAMILIAR","173","fflch","","Assunto","","",""
"ÉTICA MÉDICA","174.2","fflch","","Assunto","","",""
"ÉTICA POLÍTICA","172","fflch","","Assunto","","",""
"ÉTICA PROFISSIONAL","174","fflch","","Assunto","","",""
"ÉTICA RELIGIOSA","210.9291.5 (*)","fflch","","Assunto","","",""
"ÉTICA SEXUAL","176","fflch","","Assunto","","",""
"ÉTICA SOCIAL","177","fflch","","Assunto","","",""
"Etiópia","916.3","fflch","","Assunto","","",""
"ETIQUETA","395","fflch","","Assunto","","",""
"ETNO-HISTÓRIA","301.20909","fflch","","Assunto","","",""
"ETNOARQUEOLOGIA","301.2093","fflch","","Assunto","","",""
"ETNOBIOLOGIA","301.20574","fflch","","Assunto","","",""
"ETNOBOTÂNICA","301.20581","fflch","","Assunto","","",""
"Etnocídio v. GENOCÍDIO","","fflch","","Assunto","","",""
"ETNOCIÊNCIA","301.205","fflch","","Assunto","","",""
"ETNOFILOSOFIA","301.201","fflch","","Assunto","","",""
"ETNOGRAFIA","301.2","fflch","","Assunto","","",""
"ETNOLOGIA","301.2","fflch","","Assunto","","",""
"ETNOMUSICOLOGIA","301.2078","fflch","","Assunto","","",""
"ETNOPSICOLOGIA","155.8","fflch","","Assunto","","",""
"ETNOZOOLOGIA","301.2059","fflch","","Assunto","","",""
"Études Montaignistes","194.92  M761em   v.","","","Coleção","","",""
"EUCARISTIA","264.36","fflch","","Assunto","","",""
"EUDOXOS","888.01","fflch","","Assunto","","",""
