"titulo","cdd","Criado_por","Observação","Tipo","Enviado para SIBI","Normalizado","Remissiva"
"ÁGUAS DOCES (HIDROLOGIA)","551.48","fflch","","Assunto","","",""
"ÁGUAS DOCES (RECURSOS NATURAIS)","736333.91 (*)","fflch","","Assunto","","",""
"ÁGUAS SUBTERRÂNEAS","612.3551.49 (*)","fflch","","Assunto","","",""
"AIDS","616.9792","fflch","","Assunto","","",""
"AL-BASIR, Yusuf (ca. séc. XI)","181.3","","","Autor","","",""
"Alagoas","918.135","","","Assunto","","",""
"Alain de Lille (ca.1128-1202)","189.4 A319","","Alanus ab Insulis","Autor","","",""
"Alaska","917.98","fflch","","Assunto","","",""
"Albânia","914.965","fflch","","Assunto","","",""
"ALBANO, JOSE D'ABREU. 1882-1923","869.9149","","","","","",""
"Alberti, Leon Battista (1404-1472)","144 A334","2508542","","","","",""
"ALBUQUERQUE, MATHEUS DE. 1880-?","869.9149","","","","","",""
"ALCEU (de Lesbos), poeta lírico grego","881.9","fflch","","Autor","","",""
"ALCIPHRON (Epistolografia grega)","886.2","fflch","","Autor","","",""
"ALCORÃO","297.122","fflch","","Assunto","","",""
"Alemanha (até 1945/depois de 1999)","914.3","fflch","","Assunto","","",""
"Alemanha Ocidental v. República Federal da Alemanha","","fflch","","Assunto","","",""
"Alemanha Oriental v. República Democrática da Alemanha","","fflch","","Assunto","","",""
"ALEMÃO - ALFABETO","430","","","","","",""
"ALEMÃO - DIALETOS","430","","","","","",""
"ALEMÃO - ESTUDO E ENSINO","430.7","","","","","",""
"ALEMÃO - ETIMOLOGIA","430","","","","","",""
"ALEMÃO - FONOLOGIA","430","","","","","",""
"ALEMÃO - GRAMÁTICA","435","","","","","",""
"ALEMÃO - LÍNGUA","430","","","","","",""
"ALEMÃO - REDAÇÃO","808.043","","","","","",""
"ALENCAR, JOSE DE","869.9334","","para romance e conto","","","",""
"Alessandro di Hales VER Alexandre de Hales","","","","","","",""
"Alexander Halensis  VER Alexandre de Hales","","","","","","",""
"Alexandre de Afrodísias, ca. 198-209 d.C.","185 A381","","","","","",""
"Alexandre de Hales (ca. 1185-1243)","189.4 A381","","","","","",""
"Alfred of Sarashel VER Alfredus Anglicus","","","","","","",""
"Alfred the Philosopher VER Alfredus Anglicus","","","","","","",""
"Alfredus Anglicus  séc.13","189.4 A392","","","","","",""
"Aliança internacional v. ACORDOS INTERNACIONAIS","","fflch","","Assunto","","",""
"Aliança partidária v. COALIZÃO","","fflch","","Assunto","","",""
"ALIENAÇÃO POLÍTICA","323.042","fflch","","Assunto","","",""
"ALIENAÇÃO SOCIAL","302.544","fflch","","Assunto","","",""
"ALMA","128.1","fflch","","Assunto","","",""
